date,ht,at,hg,ag,result,h_odds,d_odds,a_odds,ht_form_points,ht_form_goals_scored,ht_form_goals_conceded,ht_form_wins,at_form_points,at_form_goals_scored,at_form_goals_conceded,at_form_wins,ht_home_form_points,ht_home_form_goals_scored,at_away_form_points,at_away_form_goals_scored,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,ht_form,at_form,ht_attack,at_attack,joint_attack,h2h_dominance,odds_favorite
2021-01-15,sporting,rio ave,1,1,D,1.5,4.1,6.5,13.0,9.0,3.0,4.0,4.0,4.0,8.0,1.0,15.0,12.0,4.0,1.0,18.0,7.0,5.0,30,excellent,below avg,above avg,average,above avg x average,home_dominant,home
2021-01-15,porto,benfica,1,1,D,2.15,3.4,3.25,15.0,16.0,6.0,5.0,13.0,9.0,3.0,4.0,15.0,13.0,10.0,8.0,16.0,11.0,7.0,34,excellent,excellent,strong,above avg,strong x above avg,home_dominant,home
2021-01-16,pacos ferreira,sp braga,2,0,H,4.33,3.5,1.83,8.0,7.0,4.0,2.0,9.0,10.0,6.0,3.0,13.0,10.0,9.0,9.0,9.0,5.0,16.0,30,average,average,average,above avg,average x above avg,away_dominant,away
2021-01-16,tondela,boavista,3,1,H,3.1,3.3,2.3,4.0,4.0,8.0,1.0,4.0,3.0,6.0,0.0,10.0,4.0,4.0,4.0,2.0,4.0,4.0,10,below avg,below avg,average,weak,average x weak,balanced,away
2021-01-17,nacional,moreirense,0,1,A,2.37,3.1,3.1,3.0,3.0,8.0,1.0,6.0,4.0,6.0,1.0,7.0,6.0,2.0,1.0,3.0,0.0,11.0,14,poor,below avg,weak,average,weak x average,away_dominant,home
2021-01-17,santa clara,famalicao,1,2,A,2.25,3.2,3.2,5.0,5.0,8.0,1.0,2.0,3.0,8.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,2,below avg,poor,average,weak,average x weak,balanced,home
2021-01-17,gil vicente,maritimo,0,1,A,2.2,3.1,3.5,5.0,3.0,6.0,1.0,7.0,6.0,5.0,2.0,5.0,4.0,3.0,7.0,6.0,5.0,5.0,16,below avg,average,weak,average,weak x average,balanced,home
2021-01-18,portimonense,belenenses,1,0,H,2.37,3.25,2.9,4.0,3.0,6.0,1.0,4.0,3.0,6.0,1.0,7.0,4.0,3.0,0.0,0.0,4.0,2.0,6,below avg,below avg,weak,weak,weak x weak,balanced,home
2021-01-21,guimaraes,nacional,3,1,H,1.6,3.8,4.75,10.0,11.0,5.0,3.0,3.0,3.0,8.0,1.0,6.0,4.0,4.0,2.0,9.0,7.0,12.0,28,good,poor,strong,weak,strong x weak,balanced,home
2021-01-24,famalicao,guimaraes,0,1,A,3.4,3.1,2.2,4.0,3.0,7.0,1.0,10.0,12.0,6.0,3.0,5.0,7.0,13.0,11.0,0.0,1.0,1.0,2,below avg,good,weak,strong,weak x strong,balanced,away
2021-01-24,maritimo,pacos ferreira,0,3,A,2.87,3.0,2.62,10.0,6.0,3.0,3.0,11.0,8.0,2.0,3.0,5.0,3.0,8.0,6.0,10.0,10.0,8.0,28,good,good,average,above avg,average x above avg,balanced,balanced
2021-01-24,moreirense,portimonense,2,2,D,2.7,3.2,2.62,8.0,4.0,5.0,2.0,7.0,4.0,5.0,2.0,8.0,6.0,0.0,2.0,3.0,2.0,1.0,6,average,average,average,average,average x average,balanced,balanced
2021-01-25,belenenses,tondela,2,0,H,2.2,3.0,3.6,1.0,1.0,6.0,0.0,7.0,4.0,5.0,2.0,5.0,4.0,1.0,4.0,4.0,5.0,1.0,10,poor,average,weak,average,weak x average,balanced,home
